State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
NSW,10110,Armidale,Musculo-skeletal system,0.51,0.54,0.55,0.55,"29,360","14,974","15,854","16,148","16,148",881,294,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Genito urinary system and sex hormones,0.35,0.32,0.32,0.29,"29,360","10,276","9,395","9,395","8,514",881,0,881,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Sensory organs,0.35,0.34,0.36,0.36,"29,360","10,276","9,982","10,570","10,570",294,587,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"29,360","7,046","7,046","7,046","7,046",0,0,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.26,0.25,0.25,"29,360","7,046","7,634","7,340","7,340",587,294,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Dermatologicals,0.12,0.12,0.13,0.12,"29,360","3,523","3,523","3,817","3,523",0,294,294,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,"Antiparasitic products, insecticides and repellents",0,0,0,0,"29,360",0,0,0,0,0,0,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Various,0,0,0,0,"29,360",0,0,0,0,0,0,0,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
WA,50210,Ashburton,Nervous system,1.33,1.36,1.32,1.25,"7,834","10,419","10,654","10,341","9,793",235,313,548,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Cardiovascular system,1.28,1.41,1.45,1.32,"7,834","10,028","11,046","11,359","10,341","1,018",313,"1,018",50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Alimentary tract and metabolism,0.85,0.91,0.85,0.75,"7,834","6,659","7,129","6,659","5,876",470,470,783,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Antiinfectives for systemic use,0.53,0.59,0.46,0.45,"7,834","4,152","4,622","3,604","3,525",470,"1,018",78,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Musculo-skeletal system,0.24,0.24,0.23,0.24,"7,834","1,880","1,880","1,802","1,880",0,78,78,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Respiratory system,0.18,0.2,0.23,0.23,"7,834","1,410","1,567","1,802","1,802",157,235,0,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Blood and blood forming organs,0.15,0.16,0.14,0.12,"7,834","1,175","1,253","1,097",940,78,157,157,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Antineoplastic and immunomodulating agents,0.12,0.12,0.12,0.12,"7,834",940,940,940,940,0,0,0,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Genito urinary system and sex hormones,0.12,0.12,0.12,0.12,"7,834",940,940,940,940,0,0,0,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Sensory organs,0.12,0.09,0.1,0.02,"7,834",940,705,783,157,235,78,627,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,"Systemic hormonal preparations, excl. sex hormones and insulins",0.12,0.15,0.12,0.13,"7,834",940,"1,175",940,"1,018",235,235,78,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
WA,50210,Ashburton,Dermatologicals,0.1,0.11,0.1,0.1,"7,834",783,862,783,783,78,78,0,50601111001,Armadale - Wungong - Brookdale,50601,Armadale,Perth - South East,Greater Perth
QLD,30300,Banana,Cardiovascular system,3.89,3.92,3.77,3.82,"14,779","57,490","57,934","55,717","56,456",443,"2,217",739,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Nervous system,2.65,2.58,2.48,2.53,"14,779","39,164","38,130","36,652","37,391","1,035","1,478",739,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Alimentary tract and metabolism,1.77,1.73,1.66,1.68,"14,779","26,159","25,568","24,533","24,829",591,"1,035",296,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Antiinfectives for systemic use,0.95,0.94,0.91,0.88,"14,779","14,040","13,892","13,449","13,006",148,443,443,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Respiratory system,0.52,0.5,0.5,0.52,"14,779","7,685","7,390","7,390","7,685",296,0,296,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Musculo-skeletal system,0.48,0.48,0.49,0.51,"14,779","7,094","7,094","7,242","7,537",0,148,296,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Blood and blood forming organs,0.44,0.45,0.41,0.43,"14,779","6,503","6,651","6,059","6,355",148,591,296,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Genito urinary system and sex hormones,0.26,0.26,0.26,0.29,"14,779","3,843","3,843","3,843","4,286",0,0,443,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,"Systemic hormonal preparations, excl. sex hormones and insulins",0.25,0.24,0.24,0.25,"14,779","3,695","3,547","3,547","3,695",148,0,148,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Sensory organs,0.24,0.24,0.24,0.28,"14,779","3,547","3,547","3,547","4,138",0,0,591,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Antineoplastic and immunomodulating agents,0.13,0.12,0.12,0.12,"14,779","1,921","1,773","1,773","1,773",148,0,0,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,30300,Banana,Dermatologicals,0.12,0.12,0.12,0.12,"14,779","1,773","1,773","1,773","1,773",0,0,0,30701117101,Balonne,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
NSW,10550,Bayside (NSW),Cardiovascular system,3.54,3.69,3.64,3.63,"177,945","629,925","656,617","647,720","645,940","26,692","8,897","1,779",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Alimentary tract and metabolism,1.76,1.74,1.69,1.7,"177,945","313,183","309,624","300,727","302,507","3,559","8,897","1,779",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Nervous system,1.71,1.7,1.72,1.76,"177,945","304,286","302,507","306,065","313,183","1,779","3,559","7,118",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Antiinfectives for systemic use,0.85,0.83,0.71,0.73,"177,945","151,253","147,694","126,341","129,900","3,559","21,353","3,559",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Sensory organs,0.49,0.48,0.47,0.47,"177,945","87,193","85,414","83,634","83,634","1,779","1,779",0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Blood and blood forming organs,0.43,0.44,0.43,0.44,"177,945","76,516","78,296","76,516","78,296","1,779","1,779","1,779",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
QLD,31000,Brisbane,Cardiovascular system,3.24,3.33,3.24,3.2,"1,283,002","4,156,926","4,272,397","4,156,926","4,105,606","115,470","115,470","51,320",30101100201,Belmont - Gumdale,30101,Capalaba,Brisbane - East,Greater Brisbane
NSW,10550,Bayside (NSW),Respiratory system,0.38,0.44,0.42,0.46,"177,945","67,619","78,296","74,737","81,855","10,677","3,559","7,118",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Musculo-skeletal system,0.36,0.37,0.35,0.37,"177,945","64,060","65,840","62,281","65,840","1,779","3,559","3,559",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Antineoplastic and immunomodulating agents,0.24,0.22,0.18,0.17,"177,945","42,707","39,148","32,030","30,251","3,559","7,118","1,779",10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Dermatologicals,0.24,0.24,0.24,0.24,"177,945","42,707","42,707","42,707","42,707",0,0,0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Genito urinary system and sex hormones,0.24,0.24,0.24,0.24,"177,945","42,707","42,707","42,707","42,707",0,0,0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.22,0.21,0.21,"177,945","42,707","39,148","37,368","37,368","3,559","1,779",0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),"Antiparasitic products, insecticides and repellents",0,0,0,0,"177,945",0,0,0,0,0,0,0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
NSW,10550,Bayside (NSW),Various,0,0,0,0,"177,945",0,0,0,0,0,0,0,10104101901,Bega - Tathra,10104,South Coast,Capital Region,Rest of NSW
QLD,31000,Brisbane,Nervous system,2.52,2.44,2.42,2.43,"1,283,002","3,233,165","3,130,525","3,104,865","3,117,695","102,640","25,660","12,830",30101100201,Belmont - Gumdale,30101,Capalaba,Brisbane - East,Greater Brisbane
WA,50910,Broome,Nervous system,1.38,1.38,1.36,1.45,"18,353","25,327","25,327","24,960","26,612",0,367,"1,652",50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Cardiovascular system,1.16,1.21,1.18,1.31,"18,353","21,289","22,207","21,657","24,042",918,551,"2,386",50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Alimentary tract and metabolism,0.58,0.58,0.56,0.61,"18,353","10,645","10,645","10,278","11,195",0,367,918,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Antiinfectives for systemic use,0.4,0.37,0.37,0.42,"18,353","7,341","6,791","6,791","7,708",551,0,918,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Musculo-skeletal system,0.23,0.24,0.24,0.24,"18,353","4,221","4,405","4,405","4,405",184,0,0,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Genito urinary system and sex hormones,0.16,0.12,0.12,0.16,"18,353","2,936","2,202","2,202","2,936",734,0,734,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Respiratory system,0.15,0.19,0.2,0.23,"18,353","2,753","3,487","3,671","4,221",734,184,551,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Antineoplastic and immunomodulating agents,0.13,0.12,0.12,0.12,"18,353","2,386","2,202","2,202","2,202",184,0,0,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Blood and blood forming organs,0.13,0.13,0.13,0.16,"18,353","2,386","2,386","2,386","2,936",0,0,551,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Sensory organs,0.12,0.12,0.12,0.12,"18,353","2,202","2,202","2,202","2,202",0,0,0,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,"Systemic hormonal preparations, excl. sex hormones and insulins",0.12,0.12,0.12,0.12,"18,353","2,202","2,202","2,202","2,202",0,0,0,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,50910,Broome,Dermatologicals,0.11,0.11,0.11,0.12,"18,353","2,019","2,019","2,019","2,202",0,0,184,50903124601,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
QLD,32070,Cairns,Cardiovascular system,3.39,3.46,3.36,3.24,"171,970","582,978","595,016","577,819","557,183","12,038","17,197","20,636",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Nervous system,2.79,2.75,2.78,2.77,"171,970","479,796","472,918","478,077","476,357","6,879","5,159","1,720",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Alimentary tract and metabolism,1.71,1.62,1.58,1.52,"171,970","294,069","278,591","271,713","261,394","15,477","6,879","10,318",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Antiinfectives for systemic use,0.96,0.93,0.83,0.86,"171,970","165,091","159,932","142,735","147,894","5,159","17,197","5,159",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Blood and blood forming organs,0.48,0.48,0.46,0.44,"171,970","82,546","82,546","79,106","75,667",0,"3,439","3,439",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Musculo-skeletal system,0.48,0.45,0.45,0.45,"171,970","82,546","77,387","77,387","77,387","5,159",0,0,30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,33430,Gold Coast,Cardiovascular system,3.64,3.74,3.67,3.52,"647,078","2,355,364","2,420,072","2,374,776","2,277,715","64,708","45,295","97,062",30901122401,Broadbeach Waters,30901,Broadbeach - Burleigh,Gold Coast,Rest of Qld
QLD,32070,Cairns,Respiratory system,0.45,0.45,0.43,0.43,"171,970","77,387","77,387","73,947","73,947",0,"3,439",0,30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Genito urinary system and sex hormones,0.36,0.36,0.36,0.35,"171,970","61,909","61,909","61,909","60,190",0,0,"1,720",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Sensory organs,0.32,0.31,0.31,0.3,"171,970","55,030","53,311","53,311","51,591","1,720",0,"1,720",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,35010,Moreton Bay,Cardiovascular system,4.58,4.65,4.52,4.28,"496,777","2,275,239","2,310,013","2,245,432","2,126,206","34,774","64,581","119,226",31301136201,Beachmere - Sandstone Point,31301,Bribie - Beachmere,Moreton Bay - North,Greater Brisbane
QLD,32070,Cairns,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.24,0.22,0.23,"171,970","41,273","41,273","37,833","39,553",0,"3,439","1,720",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Antineoplastic and immunomodulating agents,0.23,0.19,0.19,0.14,"171,970","39,553","32,674","32,674","24,076","6,879",0,"8,599",30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Dermatologicals,0.13,0.12,0.12,0.12,"171,970","22,356","20,636","20,636","20,636","1,720",0,0,30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,"Antiparasitic products, insecticides and repellents",0,0,0,0,"171,970",0,0,0,0,0,0,0,30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,32070,Cairns,Various,0,0,0,0,"171,970",0,0,0,0,0,0,0,30601113801,Brinsmead,30601,Cairns - North,Cairns,Rest of Qld
QLD,31000,Brisbane,Alimentary tract and metabolism,1.58,1.5,1.46,1.42,"1,283,002","2,027,143","1,924,503","1,873,183","1,821,863","102,640","51,320","51,320",30101100201,Belmont - Gumdale,30101,Capalaba,Brisbane - East,Greater Brisbane
QLD,33430,Gold Coast,Nervous system,2.92,2.89,2.92,2.91,"647,078","1,889,468","1,870,055","1,889,468","1,882,997","19,412","19,412","6,471",30901122401,Broadbeach Waters,30901,Broadbeach - Burleigh,Gold Coast,Rest of Qld
NSW,10350,Canterbury-Bankstown,Cardiovascular system,4.11,4.21,4.12,4.11,"372,066","1,529,191","1,566,398","1,532,912","1,529,191","37,207","33,486","3,721",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Alimentary tract and metabolism,2.38,2.29,2.2,2.13,"372,066","885,517","852,031","818,545","792,501","33,486","33,486","26,045",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
QLD,35010,Moreton Bay,Nervous system,3.65,3.55,3.51,3.47,"496,777","1,813,236","1,763,558","1,743,687","1,723,816","49,678","19,871","19,871",31301136201,Beachmere - Sandstone Point,31301,Bribie - Beachmere,Moreton Bay - North,Greater Brisbane
NSW,10350,Canterbury-Bankstown,Nervous system,1.96,1.9,1.9,1.97,"372,066","729,249","706,925","706,925","732,970","22,324",0,"26,045",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Antiinfectives for systemic use,1.08,1.07,0.9,0.94,"372,066","401,831","398,111","334,859","349,742","3,721","63,251","14,883",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Sensory organs,0.68,0.67,0.61,0.64,"372,066","253,005","249,284","226,960","238,122","3,721","22,324","11,162",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,13100,Central Coast (NSW),Cardiovascular system,5.08,5.2,5.12,4.95,"349,173","1,773,799","1,815,700","1,787,766","1,728,406","41,901","27,934","59,359",10201102801,Avoca Beach - Copacabana,10201,Gosford,Central Coast,Greater Sydney
NSW,10350,Canterbury-Bankstown,Respiratory system,0.58,0.61,0.61,0.62,"372,066","215,798","226,960","226,960","230,681","11,162",0,"3,721",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Blood and blood forming organs,0.49,0.48,0.48,0.48,"372,066","182,312","178,592","178,592","178,592","3,721",0,0,11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Musculo-skeletal system,0.48,0.47,0.47,0.48,"372,066","178,592","174,871","174,871","178,592","3,721",0,"3,721",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Dermatologicals,0.31,0.3,0.27,0.31,"372,066","115,340","111,620","100,458","115,340","3,721","11,162","14,883",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Antineoplastic and immunomodulating agents,0.24,0.24,0.21,0.21,"372,066","89,296","89,296","78,134","78,134",0,"11,162",0,11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Genito urinary system and sex hormones,0.24,0.24,0.24,0.24,"372,066","89,296","89,296","89,296","89,296",0,0,0,11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.24,0.24,0.23,"372,066","89,296","89,296","89,296","85,575",0,0,"3,721",11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,"Antiparasitic products, insecticides and repellents",0,0,0,0,"372,066",0,0,0,0,0,0,0,11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
NSW,10350,Canterbury-Bankstown,Various,0,0,0,0,"372,066",0,0,0,0,0,0,0,11901135401,Bass Hill - Georges Hall,11901,Bankstown,Sydney - Inner South West,Greater Sydney
WA,51400,Carnamah,Cardiovascular system,5.52,5.59,5.88,5.91,572,"3,157","3,197","3,363","3,381",40,166,17,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Nervous system,3.25,3.4,3.41,3.19,572,"1,859","1,945","1,951","1,825",86,6,126,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Alimentary tract and metabolism,2.62,2.48,2.58,2.45,572,"1,499","1,419","1,476","1,401",80,57,74,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Antiinfectives for systemic use,0.72,0.76,0.7,0.75,572,412,435,400,429,23,34,29,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Blood and blood forming organs,0.6,0.59,0.58,0.59,572,343,337,332,337,6,6,6,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Respiratory system,0.6,0.62,0.48,0.6,572,343,355,275,343,11,80,69,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Musculo-skeletal system,0.48,0.5,0.59,0.6,572,275,286,337,343,11,51,6,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,51400,Carnamah,Sensory organs,0.19,0.25,0.31,0.38,572,109,143,177,217,34,34,40,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
NSW,10750,Blacktown,Cardiovascular system,3.52,3.63,3.57,3.59,"410,897","1,446,357","1,491,556","1,466,902","1,475,120","45,199","24,654","8,218",11601130301,Blacktown (East) - Kings Park,11601,Blacktown,Sydney - Blacktown,Greater Sydney
QLD,34590,Logan,Cardiovascular system,3.89,3.9,3.8,3.74,"363,057","1,412,292","1,415,922","1,379,617","1,357,833","3,631","36,306","21,783",31102130601,Beenleigh,31102,Beenleigh,Logan - Beaudesert,Greater Brisbane
